2014-10-08 00:58:41,275 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cl:FriendFeedsRESTService:1.0.0-BUILD-SNAPSHOT @ /Users/gibranecastillo/Mobility/CollegeLife/CLServices/FriendFeedsRESTService/pom.xml.
2014-10-08 00:58:41,356 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat:el-api:jar:8.0.12 is missing, no dependency information available
2014-10-08 00:58:41,359 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat:jasper:jar:8.0.12 is missing, no dependency information available
2014-10-08 00:58:41,361 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat:jasper-el:jar:8.0.12 is missing, no dependency information available
2014-10-08 00:58:41,362 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:servlet-api:jar:3.1 is missing, no dependency information available
2014-10-08 00:58:42,092 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-08 00:58:42,098 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-10-08 00:58:42,111 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-08 00:58:42,112 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-08 00:58:43,977 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat:el-api:jar:8.0.12 is missing, no dependency information available
2014-10-08 00:58:43,979 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat:jasper:jar:8.0.12 is missing, no dependency information available
2014-10-08 00:58:43,981 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat:jasper-el:jar:8.0.12 is missing, no dependency information available
2014-10-08 00:58:43,984 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:servlet-api:jar:3.1 is missing, no dependency information available
2014-10-08 00:58:44,075 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-08 00:58:44,085 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-08 00:58:44,087 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-08 00:58:44,089 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
